home_name,away_name,home_score,away_score,home_style,away_style,home_ai_level,away_ai_level,home_possession_pct,away_possession_pct,home_passes_attempted,home_passes_completed,away_passes_attempted,away_passes_completed,home_shots,away_shots,home_tackles,away_tackles,home_interceptions,away_interceptions,home_fouls,away_fouls,home_adaptations,away_adaptations,home_avg_stamina,away_avg_stamina,home_distance_km,away_distance_km,decision_count,avg_decision_utility,decision_latency_ms,duration_minutes
Team A,Team B,3,1,Possession,Counter Attack,Full Multi-Agent,Full Multi-Agent,81.45539906103286,18.544600938967136,19,9,21,14,6,4,24,27,4,4,0,0,2,2,69.56914443994054,68.66243439064054,3.965561089164558,3.9947741046525524,400,15.497280041019096,2.1101192789452603,90.00750000000704
Team A,Team B,0,2,Possession,Counter Attack,Full Multi-Agent,Full Multi-Agent,59.037238873751136,40.962761126248864,31,12,35,12,8,8,41,55,8,7,0,0,2,2,64.2268312798964,70.92056680174525,4.692441298084711,4.347737686552087,400,17.2110018613798,2.0742521539853054,90.00750000000704
Team A,Team B,0,1,Possession,Counter Attack,Full Multi-Agent,Full Multi-Agent,29.889807162534435,70.11019283746556,31,7,34,13,11,7,50,30,7,10,0,0,1,1,73.34151347505642,66.90535356614674,4.32659003617324,3.989299259971323,400,11.154264958326939,1.928918606787607,90.00750000000704
Team A,Team B,2,1,Possession,Counter Attack,Full Multi-Agent,Full Multi-Agent,34.10326086956522,65.89673913043478,22,11,35,16,10,4,34,26,9,4,0,0,2,2,70.20536026352433,68.99700317333863,4.289219847534831,4.0864540018195346,400,16.686492831930828,2.028680415518523,90.00750000000704
Team A,Team B,4,2,Possession,Counter Attack,Full Multi-Agent,Full Multi-Agent,48.04003336113428,51.95996663886572,43,20,43,16,17,9,46,34,10,11,0,0,3,3,65.73448737660306,60.74625933848204,4.597536997295096,4.640069052143509,400,18.91906030783879,2.056525267337728,90.00750000000704
Team A,Team B,1,1,Possession,Counter Attack,Full Multi-Agent,Full Multi-Agent,46.333333333333336,53.666666666666664,12,5,27,12,9,4,27,31,6,2,0,0,0,0,70.37748974850219,66.63623781040069,4.5921188564014255,4.33286566288226,400,11.460363327146712,1.889275282616333,90.00750000000704
Team A,Team B,2,2,Possession,Counter Attack,Full Multi-Agent,Full Multi-Agent,15.84084084084084,84.15915915915916,41,22,29,15,8,5,62,21,7,8,0,0,2,2,54.76132629949701,50.38286123343321,4.952811454403162,4.8355815285838455,400,18.406230002413405,2.1376483043104586,90.00750000000704
Team A,Team B,0,1,Possession,Counter Attack,Full Multi-Agent,Full Multi-Agent,23.616236162361623,76.38376383763837,55,28,47,28,20,9,53,33,9,7,0,0,2,2,83.70700092464264,76.41659905587572,3.7423957363586746,3.7188246138155967,400,12.245373878919896,1.9663908035423108,90.00750000000704
Team A,Team B,1,2,Possession,Counter Attack,Full Multi-Agent,Full Multi-Agent,55.99022004889976,44.00977995110024,54,24,48,17,12,17,36,47,12,14,0,0,3,3,74.47786012084804,67.9726820046037,4.1862066632511565,4.395722187172004,400,13.688375231923333,2.107470669106643,90.00750000000704
Team A,Team B,1,1,Possession,Counter Attack,Full Multi-Agent,Full Multi-Agent,59.523809523809526,40.476190476190474,37,23,25,12,4,3,33,38,4,5,0,0,0,0,65.40590825010875,47.93042777055321,4.408951015810961,4.834956862811695,400,14.204949695758314,1.9785205927265428,90.00750000000704
